label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.Bulk,78,None,None,,,False,False
input.Red1,6,None,None,,,False,False
input.Red2,2,None,None,,,False,False
input.RC,6,None,None,,,False,False
input.1,1,None,None,,,False,False
input.0,0,None,None,,,False,False
area.1,1,None,None,,,False,False
area.Bulk,1.35,None,None,,,False,False
rel.r1,1,None,None,,,False,False
irf.common_backsweep,13140.6,None,None,,,False,False
FT7521rates.kF,0.000199661,None,None,,0,False,True
FT7521rates.WLRP1,0.0585,None,None,,,False,False
FT7521rates.gRed1C,-0.589954809,0.003904025,None,,,False,True
FT7521rates.gRed2C,-0.793797614,0.004944077,None,,,False,True
FT7521rates.ToBulkFromRed1,0.101445101,0.000503671,$FT7521rates.ToRed1FromBulk*exp(-$FT7521rates.gRed1C),,,False,True
FT7521rates.ToRed1FromBulk,0.056236329,None,None,,0,False,True
FT7521rates.ToBulkFromRed2,0.030324206,0.00011945,$FT7521rates.ToRed2FromBulk*exp(-$FT7521rates.gRed2C),,,False,False
FT7521rates.ToRed2FromBulk,0.013710318,None,None,,0,False,True
FT7521rates.gWLRCC,-1.5,0.002374177,None,,,False,False
FT7521rates.ToBulkFromWLRC,0.544742498,None,$FT7521rates.ToWLRCFromBulk*exp(-$FT7521rates.gWLRCC),,,False,False
FT7521rates.ToWLRCFromBulk,0.121548481,None,None,,,False,False
FT7521rates.gWLRP1C_gWLRCC,5.12,None,None,,,False,False
FT7521rates.ToWLRCFromWLRP1,0.005378421,None,None,,,False,False
FT7521rates.ToWLRP1FromWLRC,0.9,None,None,,,False,False
FT7521scale.WLtr1,0.259288742,3.27E-05,None,,0,False,True
FT7521scale.WLtr2,1.065971309,6.01E-05,None,,0,False,True
FT7521scale.WLtr4,1,None,None,,,False,False
FT7521scalem.1,1,None,None,,,False,False
FT7521scalem.WLtr1a,0.021790909,25.27168267,None,,0,False,True
FT7521scalem.WLtr2a,0.020061803,19.37177025,None,,0,False,True
FT7521scalem.WLtr4a,0.034762987,38.61164329,None,,0,False,True
FT7521irfWLtr1.center,57.43931979,0.003829027,None,,0,False,False
FT7521irfWLtr1.width1,2.1945143,0.007477162,None,,0,False,False
FT7521irfWLtr1.width2,2.172475987,0.08806806,None,,0,False,False
FT7521irfWLtr1.scale1,1,None,None,,,False,False
FT7521irfWLtr1.scale2,0.174809518,0.006246608,None,,0,False,False
FT7521irfWLtr2.center,56.89810901,0.003773349,None,,0,False,False
FT7521irfWLtr2.width1,2.787971401,0.006157766,None,,0,False,False
FT7521irfWLtr2.width2,7.120867087,0.074955921,None,,0,False,False
FT7521irfWLtr2.scale1,1,None,None,,,False,False
FT7521irfWLtr2.scale2,0.157565096,0.0039968,None,,0,False,False
FT7521irfWLtr4.center,203.8808202,0.005350562,None,,0,False,False
FT7521irfWLtr4.width1,7.51643442,0.0131355,None,,0,False,False
FT7521irfWLtr4.width2,25.5251319,0.133917999,None,,0,False,False
FT7521irfWLtr4.scale1,1,None,None,,,False,False
FT7521irfWLtr4.scale2,0.19860936,0.003242098,None,,0,False,False
scale.WLRCSAS,0.318608883,0.000248075,None,,0,False,True
irf.dispcenter,720,None,None,,,False,False
irf.FT7521disp1,-3.93655934,0.010088892,None,,,False,True
irf.FT7521disp2,3.946120622,0.026831759,None,,0,False,True
FT7521rates.ToBulkFromSlow,0.001543922,4.35E-05,None,,0.0015,False,True
input.slowtr1,18.14143641,6.01E-05,None,,0,False,True
input.Bulktr1,59.85856359,None,$input.Bulk-$input.slowtr1,,,False,False
input.slowtr2,4.425170895,6.01E-05,None,,0,False,True
input.Bulktr2,73.5748291,None,$input.Bulk-$input.slowtr2,,,False,False
input.slowtr4,3.413910029,6.01E-05,None,,0,False,True
input.Bulktr4,74.58608997,None,$input.Bulk-$input.slowtr4,,,False,False
FT7521rates.ToBulkFromSlowFast,10,4.35E-05,None,,,False,False
FT7521Bulkratio.tr1,0.767417482,None,$input.Bulktr1/$input.Bulk,,,False,False
FT7521Bulkratio.tr2,0.94326704,None,$input.Bulktr2/$input.Bulk,,,False,False
FT7521Bulkratio.tr4,0.956231923,None,$input.Bulktr4/$input.Bulk,,,False,False
FT7521rates.ToBulkFromRed1s,0.09568982,0.000503671,$FT7521rates.ToBulkFromRed1*$FT7521Bulkratio.tr2,,,False,False
FT7521rates.ToBulkFromRed2s,0.028603824,0.000503671,$FT7521rates.ToBulkFromRed2*$FT7521Bulkratio.tr2,,,False,False
FT7521rates.ToBulkFromWLRCs,0.513837644,0.000503671,$FT7521rates.ToBulkFromWLRC*$FT7521Bulkratio.tr2,,,False,False
FT7521scalem.tr1s,0.199674666,None,None,0.7,0,False,True
FT7521scalem.tr1,0.800325334,None,1-$FT7521scalem.tr1s,,,False,False
FT7521scalem.tr2s,0.676801407,None,None,0.7,0,False,True
FT7521scalem.tr2,0.323198593,None,1-$FT7521scalem.tr2s,,,False,False
FT7521scalem.tr4s,0.538064451,None,None,0.7,0,False,True
FT7521scalem.tr4,0.461935549,None,1-$FT7521scalem.tr4s,,,False,False
FT7521rates.ToBulkFromRed1tr4,0.09568982,None,None,,0,False,True
FT7521rates.ToBulkFromRed2tr4,0.028603824,None,None,,0,False,True
FT7521rates.ToBulkFromWLRCtr4,0.513837644,None,None,,0,False,True
FT7521rates.ToBulkFromRed1tr4s,1,None,$FT7521rates.ToBulkFromRed1tr4*$FT7521Bulkratio.tr4,,,False,False
FT7521rates.ToBulkFromRed2tr4s,1,None,$FT7521rates.ToBulkFromRed2tr4*$FT7521Bulkratio.tr4,,,False,False
FT7521rates.ToBulkFromWLRCtr4s,1,None,$FT7521rates.ToBulkFromWLRCtr4*$FT7521Bulkratio.tr4,,,False,False
FT7521rates.ToBulkFromRed1tr1,0.09568982,None,None,,0,False,True
FT7521rates.ToBulkFromRed2tr1,0.028603824,None,None,,0,False,True
FT7521rates.ToBulkFromWLRCtr1,0.513837644,None,None,,0,False,True
FT7521rates.ToBulkFromRed1tr1s,1,None,$FT7521rates.ToBulkFromRed1tr1*$FT7521Bulkratio.tr1,,,False,False
FT7521rates.ToBulkFromRed2tr1s,1,None,$FT7521rates.ToBulkFromRed2tr1*$FT7521Bulkratio.tr1,,,False,False
FT7521rates.ToBulkFromWLRCtr1s,1,None,$FT7521rates.ToBulkFromWLRCtr1*$FT7521Bulkratio.tr1,,,False,False
