label,value,standard_error,expression,maximum,minimum,non_negative,vary
input.Bulk,78,None,None,,,False,False
input.Red1,6,None,None,,,False,False
input.Red2,2,None,None,,,False,False
input.RC,6,None,None,,,False,False
input.1,1,None,None,,,False,False
input.0,0,None,None,,,False,False
area.1,1,None,None,,,False,False
area.Bulk,1.35,None,None,,,False,False
rel.r1,1,None,None,,,False,False
irf.common_backsweep,13140.6,None,None,,,False,False
FT7521rates.kF,0.000215085,None,None,,0,False,True
FT7521rates.WLRP1,0.0585,None,None,,,False,False
FT7521rates.gRed1C,-0.592162639,0.003904025,None,,,False,True
FT7521rates.gRed2C,-0.800387305,0.004944077,None,,,False,True
FT7521rates.ToBulkFromRed1,0.098119583,0.000503671,None,,0,False,True
FT7521rates.ToRed1FromBulk,0.054272862,None,$FT7521rates.ToBulkFromRed1*exp($FT7521rates.gRed1C),,,False,False
FT7521rates.ToBulkFromRed2,0.028509919,0.00011945,None,,0,False,True
FT7521rates.ToRed2FromBulk,0.012805372,None,$FT7521rates.ToBulkFromRed2*exp($FT7521rates.gRed2C),,,False,False
FT7521rates.gWLRCC,-1.5,0.002374177,None,,,False,False
FT7521rates.ToBulkFromWLRC,0.544742498,None,None,,,False,False
FT7521rates.ToWLRCFromBulk,0.121548481,None,$FT7521rates.ToBulkFromWLRC*exp($FT7521rates.gWLRCC),,,False,False
FT7521rates.gWLRP1C_gWLRCC,5.12,None,None,,,False,False
FT7521rates.ToWLRCFromWLRP1,0.005378421,None,None,,,False,False
FT7521rates.ToWLRP1FromWLRC,0.9,None,None,,,False,False
FT7521scale.WLtr1,0.261290946,3.27E-05,None,,0,False,True
FT7521scale.WLtr2,1.062905243,6.01E-05,None,,0,False,True
FT7521scale.WLtr4,1,None,None,,,False,False
FT7521scalem.1,1,None,None,,,False,False
FT7521scalem.WLtr1a,0.016635281,25.27168267,None,,0,False,True
FT7521scalem.WLtr2a,0.02345838,19.37177025,None,,0,False,True
FT7521scalem.WLtr4a,0.035396773,38.61164329,None,,0,False,True
FT7521irfWLtr1.center,57.43931979,0.003829027,None,,0,False,False
FT7521irfWLtr1.width1,2.1945143,0.007477162,None,,0,False,False
FT7521irfWLtr1.width2,2.172475987,0.08806806,None,,0,False,False
FT7521irfWLtr1.scale1,1,None,None,,,False,False
FT7521irfWLtr1.scale2,0.174809518,0.006246608,None,,0,False,False
FT7521irfWLtr2.center,56.89810901,0.003773349,None,,0,False,False
FT7521irfWLtr2.width1,2.787971401,0.006157766,None,,0,False,False
FT7521irfWLtr2.width2,7.120867087,0.074955921,None,,0,False,False
FT7521irfWLtr2.scale1,1,None,None,,,False,False
FT7521irfWLtr2.scale2,0.157565096,0.0039968,None,,0,False,False
FT7521irfWLtr4.center,203.8808202,0.005350562,None,,0,False,False
FT7521irfWLtr4.width1,7.51643442,0.0131355,None,,0,False,False
FT7521irfWLtr4.width2,25.5251319,0.133917999,None,,0,False,False
FT7521irfWLtr4.scale1,1,None,None,,,False,False
FT7521irfWLtr4.scale2,0.19860936,0.003242098,None,,0,False,False
scale.WLRCSAS,0.312620397,0.000248075,None,,0,False,True
irf.dispcenter,720,None,None,,,False,False
irf.FT7521disp1,-3.910328964,0.010088892,None,,,False,True
irf.FT7521disp2,3.923814644,0.026831759,None,,0,False,True
FT7521rates.ToBulkFromSlow,0.002,4.35E-05,None,,0.002,False,True
FT7521scalem.WLtr1a2,21.07260991,25.27168267,None,,0,False,True
FT7521scalem.WLtr2a2,36.57270356,19.37177025,None,,0,False,True
FT7521scalem.WLtr4a2,27.90030118,38.61164329,None,,0,False,True
input.slowtr1,3.753342288,6.01E-05,None,,0,False,True
input.Bulktr1,74.24665771,None,$input.Bulk-$input.slowtr1,,,False,False
input.slowtr2,2.413540847,6.01E-05,None,,0,False,True
input.Bulktr2,75.58645915,None,$input.Bulk-$input.slowtr2,,,False,False
input.slowtr4,1.561438016,6.01E-05,None,,0,False,True
input.Bulktr4,76.43856198,None,$input.Bulk-$input.slowtr4,,,False,False
